text,entities
"Pagkahuman sa tambal nga Atracurium Besilate, permi kong nagka-pantal.","[(25, 44, 'DRUG'), (57, 69, 'ADE')]"
"Pagkahuman sa tambal nga Acarbose, permi kong namaga.","[(25, 33, 'DRUG'), (46, 52, 'ADE')]"
Ang malipong ang panan-aw akong gibati human ko gi-injectionan og Benzylpenicillin (As Sodium).,"[(66, 94, 'DRUG'), (4, 25, 'ADE')]"
"Matud sa uban, nasakit ang kalamnan kun mokaon og Chlorhexidine Gluconate + Isopropyl Alcohol.","[(50, 93, 'DRUG'), (15, 35, 'ADE')]"
"Pagkahuman sa tambal nga Hedera helix L. (Ivy) Leaf, permi kong nasakit ang kalamnan.","[(25, 51, 'DRUG'), (64, 84, 'ADE')]"
"Tungod sa Avanafil, gibati nako ang nahubas ang baba.","[(10, 18, 'DRUG'), (36, 52, 'ADE')]"
Ang dili katulog akong gibati human ko gi-injectionan og Highly Refined Fish Oil.,"[(57, 80, 'DRUG'), (4, 16, 'ADE')]"
"Tungod sa Ascorbic Acid + Zinc (As Sulfate Monohydrate), gibati nako ang malipong ang panan-aw.","[(10, 55, 'DRUG'), (73, 94, 'ADE')]"
Ang nasakit ang kalamnan akong gibati human ko gi-injectionan og Tramadol (as hydrochloride).,"[(65, 92, 'DRUG'), (4, 24, 'ADE')]"
"Pagkahuman nako gamit ang Brimonidine Tartrate + Timolol (as maleate), nagsugod ko og bati og nahilo.","[(26, 69, 'DRUG'), (94, 100, 'ADE')]"
Ang naglugas akong gibati human ko gi-injectionan og Tramadol hydrochloride.,"[(53, 75, 'DRUG'), (4, 12, 'ADE')]"
Si mama nabati og nahilo pagkahuman mo-inom og Montelukast (as sodium) + Levocetirizine Hydrochloride.,"[(47, 101, 'DRUG'), (18, 24, 'ADE')]"
Ang nagka-pantal akong gibati human ko gi-injectionan og Diclofenac (As Sodium).,"[(57, 79, 'DRUG'), (4, 16, 'ADE')]"
Si mama nabati og gipang-lamig pagkahuman mo-inom og Iron Zinc+ Folic acid.,"[(53, 74, 'DRUG'), (18, 30, 'ADE')]"
Kasagara sa pasyente mogawas og kusog ang tibok sa kasingkasing pagkahuman sa Dicycloverine Hydrochloride.,"[(78, 105, 'DRUG'), (32, 63, 'ADE')]"
Ang nasakit ang ulo usa sa epekto sa Mebendazole Usp.,"[(37, 52, 'DRUG'), (4, 19, 'ADE')]"
Kasagara sa pasyente mogawas og namaga pagkahuman sa Amlodipine.,"[(53, 63, 'DRUG'), (32, 38, 'ADE')]"
"Pagkahuman sa tambal nga Tropicamide + Phenylephrine Hydrochloride, permi kong dili katulog.","[(25, 66, 'DRUG'), (79, 91, 'ADE')]"
Si mama nabati og nagka-pantal pagkahuman mo-inom og Meclizine hydrochloride.,"[(53, 76, 'DRUG'), (18, 30, 'ADE')]"
"Matud sa uban, nahubas ang baba kun mokaon og Phenylephrine Hydrochloride + Chlorphenamine Maleate.","[(46, 98, 'DRUG'), (15, 31, 'ADE')]"
"Nabati nako ang dili katulog pagkahuman nako inom sa Sodium Alginate + Sodium Bicarbonate + Calcium 
Carbonate.","[(53, 110, 'DRUG'), (16, 28, 'ADE')]"
Kasagara sa pasyente mogawas og lisod mo-dumi pagkahuman sa Bss (Balanced Salt Solution) Sterile Intraocular Irrigating Solution.,"[(60, 128, 'DRUG'), (32, 45, 'ADE')]"
"Pagkahuman sa tambal nga Vitamin B1 + Vitamin B6 + Vitamin B12 
+ Buclizine Hydrochloride + Lysine Hydrochloride, permi kong nahilo.","[(25, 113, 'DRUG'), (126, 132, 'ADE')]"
"Ang nagsuka usa sa epekto sa Ammonium Carbonate + Strong Ammonia Water 
(Aromatic Spirit of Ammonia).","[(29, 100, 'DRUG'), (4, 11, 'ADE')]"
"Pagkahuman nako gamit ang Biogen, nagsugod ko og bati og nagsuka.","[(26, 32, 'DRUG'), (57, 64, 'ADE')]"
