text,entities
My mom felt shortness of breath after taking Dacarbazine.,"[(45, 56, 'DRUG'), (12, 31, 'ADE')]"
I noticed tremors symptoms after my dose of Dienogest.,"[(44, 53, 'DRUG'), (10, 17, 'ADE')]"
Patients often report shortness of breath after taking Fluticasone Furoate.,"[(55, 74, 'DRUG'), (22, 41, 'ADE')]"
The doctor said swelling is a side effect of Vortioxetine (As Hydrobromide).,"[(45, 75, 'DRUG'), (16, 24, 'ADE')]"
I noticed muscle pain symptoms after my dose of Vitamin B Complex + Iron + Buclizine Hydrochloride.,"[(48, 98, 'DRUG'), (10, 21, 'ADE')]"
She became dry mouth post-administration of Methyldopa (As Sesquihydrate).,"[(44, 73, 'DRUG'), (11, 20, 'ADE')]"
"Ever since I took Propylthiouracil, I've had dry mouth.","[(18, 34, 'DRUG'), (45, 54, 'ADE')]"
I experienced tremors when I was prescribed Methyl Salicylate + Eucalyptus Oil + Menthol.,"[(44, 88, 'DRUG'), (14, 21, 'ADE')]"
"After using Cotrimoxazole (See reverse for formulation), I started to feel rash.","[(12, 55, 'DRUG'), (75, 79, 'ADE')]"
My mom felt dry mouth after taking Amoxicillin (as trihydrate) + Sulbactam (as pivoxil).,"[(35, 87, 'DRUG'), (12, 21, 'ADE')]"
"After using 5% Dextrose in Lactated Ringer's Solution, I started to feel diarrhea.","[(12, 53, 'DRUG'), (73, 81, 'ADE')]"
I experienced palpitations when I was prescribed Baloxavir Marboxil.,"[(49, 67, 'DRUG'), (14, 26, 'ADE')]"
The doctor said swelling is a side effect of Alendronic Acid (as Alendronate Sodium Trihydrate).,"[(45, 95, 'DRUG'), (16, 24, 'ADE')]"
swelling followed immediately after I took Guaifenesin + Chlorpheniramine Maleate + Phenylpropanolamine Hydrochliride.,"[(43, 117, 'DRUG'), (0, 8, 'ADE')]"
tremors followed immediately after I took Tozinameran/Famtozinameran.,"[(42, 68, 'DRUG'), (0, 7, 'ADE')]"
"Montelukast (as sodium) + Levocetirizine 
Dihydrochloride made me feel swelling for hours.","[(0, 57, 'DRUG'), (71, 79, 'ADE')]"
Rifampicin + Isoniazid + Pyrazinamide + Ethambutol hydrochloride made me feel dry mouth for hours.,"[(0, 64, 'DRUG'), (78, 87, 'ADE')]"
Multivitamins + Lysine + Iron made me feel insomnia for hours.,"[(0, 29, 'DRUG'), (43, 51, 'ADE')]"
"After using Ascorbic Acid + Calcium + Colecalciferol (Vitamin D3) 
+ Zinc, I started to feel headache.","[(12, 74, 'DRUG'), (94, 102, 'ADE')]"
I experienced palpitations when I was prescribed Dexamethasone Phosphate (as sodium).,"[(49, 84, 'DRUG'), (14, 26, 'ADE')]"
"Ever since I took Sultamicillin (As Tosylate Dihydrate), I've had chills.","[(18, 55, 'DRUG'), (66, 72, 'ADE')]"
I experienced nausea when I was prescribed Ascorbic Acid +Chlecalciferol (Vitamin D3) + ZInc.,"[(43, 92, 'DRUG'), (14, 20, 'ADE')]"
I noticed swelling symptoms after my dose of Citicoline Sodium.,"[(45, 62, 'DRUG'), (10, 18, 'ADE')]"
The doctor said vomiting is a side effect of Herbs + Ascorbic Acid + Selenium + Zinc.,"[(45, 84, 'DRUG'), (16, 24, 'ADE')]"
The doctor said nausea is a side effect of Hydroxypropyl Methylcellulose.,"[(43, 72, 'DRUG'), (16, 22, 'ADE')]"
"After using Desmopressin (as Acetate), I started to feel fever.","[(12, 37, 'DRUG'), (57, 62, 'ADE')]"
"Patients often report chills after taking Dichlorobenzyl alcohol + Amylmetacresol 
Lidocaine hydrochloride.","[(42, 107, 'DRUG'), (22, 28, 'ADE')]"
"After using Nasagen, I started to feel vomiting.","[(12, 19, 'DRUG'), (39, 47, 'ADE')]"
She became fatigue post-administration of IBUPROFEN + PARACETAMOL.,"[(42, 65, 'DRUG'), (11, 18, 'ADE')]"
"Ever since I took Emtricitabine + Tenofovir Disoproxil Fumarate, I've had palpitations.","[(18, 63, 'DRUG'), (74, 86, 'ADE')]"
Patients often report chills after taking Eperisone Hydrochloride.,"[(42, 65, 'DRUG'), (22, 28, 'ADE')]"
My mom felt dizzy after taking Cefepime hydrochloride.,"[(31, 53, 'DRUG'), (12, 17, 'ADE')]"
She became rash post-administration of Fosphenytoin Sodium.,"[(39, 58, 'DRUG'), (11, 15, 'ADE')]"
Patients often report diarrhea after taking Phenytoin  sodium.,"[(44, 61, 'DRUG'), (22, 30, 'ADE')]"
I noticed headache symptoms after my dose of Vortioxetine (as hydrobromide).,"[(45, 75, 'DRUG'), (10, 18, 'ADE')]"
insomnia followed immediately after I took Multivitamins + Silymarin.,"[(43, 68, 'DRUG'), (0, 8, 'ADE')]"
insomnia followed immediately after I took Medroxyprogesterone Acetate.,"[(43, 70, 'DRUG'), (0, 8, 'ADE')]"
Patients often report diarrhea after taking Salbutamol (As Sulfate)/ Guaifenesin.,"[(44, 80, 'DRUG'), (22, 30, 'ADE')]"
I experienced palpitations when I was prescribed Lenvatinib (as mesylate).,"[(49, 73, 'DRUG'), (14, 26, 'ADE')]"
"Ever since I took CEFUROXIME (AS AXETIL), I've had blurred vision.","[(18, 40, 'DRUG'), (51, 65, 'ADE')]"
I experienced shortness of breath when I was prescribed 0.9% Sodium Chloride S.,"[(56, 78, 'DRUG'), (14, 33, 'ADE')]"
Patients often report swelling after taking Plerixafor.,"[(44, 54, 'DRUG'), (22, 30, 'ADE')]"
I experienced tremors when I was prescribed Valaciclovir (As Hydrochloride).,"[(44, 75, 'DRUG'), (14, 21, 'ADE')]"
blurred vision followed immediately after I took Ranitidine (As Hydrochloride).,"[(49, 78, 'DRUG'), (0, 14, 'ADE')]"
I experienced palpitations when I was prescribed Chlorpheniramine Maleate + Phenylpropanolamine Hydrochloride + Guaifenesin.,"[(49, 123, 'DRUG'), (14, 26, 'ADE')]"
"Ever since I took Betacin, I've had chills.","[(18, 25, 'DRUG'), (36, 42, 'ADE')]"
My mom felt chills after taking Salbutamol (As Sulfate).,"[(32, 55, 'DRUG'), (12, 18, 'ADE')]"
The doctor said headache is a side effect of Azelastine Hydrochloride.,"[(45, 69, 'DRUG'), (16, 24, 'ADE')]"
fever followed immediately after I took Multivitamins + Glucose.,"[(40, 63, 'DRUG'), (0, 5, 'ADE')]"
I experienced blurred vision when I was prescribed Colds-Off.,"[(51, 60, 'DRUG'), (14, 28, 'ADE')]"
I experienced anxiety when I was prescribed Bacillus clausii.,"[(44, 60, 'DRUG'), (14, 21, 'ADE')]"
Sultamicillin (as tosylate dehydrate) made me feel tremors for hours.,"[(0, 37, 'DRUG'), (51, 58, 'ADE')]"
"Ever since I took Sodium Bicarbonate + Sodium Citrate + Citric Acid + 
Tartaric Acid, I've had diarrhea.","[(18, 85, 'DRUG'), (96, 104, 'ADE')]"
The doctor said chills is a side effect of Benzalkonium Chloride.,"[(43, 64, 'DRUG'), (16, 22, 'ADE')]"
She became insomnia post-administration of Cimicifuga racemosa L. (Black Cohosh) Rhizome.,"[(43, 88, 'DRUG'), (11, 19, 'ADE')]"
muscle pain followed immediately after I took Thiamine Mononitrate (Vitamin B1) + Pyridoxine HCI (Vitamin B6) +Cyanocobalamin (Vitamin B12).,"[(46, 139, 'DRUG'), (0, 11, 'ADE')]"
My mom felt nausea after taking Dexamethasone (as sodium phosphate).,"[(32, 67, 'DRUG'), (12, 18, 'ADE')]"
I noticed muscle pain symptoms after my dose of Sirolimus.,"[(48, 57, 'DRUG'), (10, 21, 'ADE')]"
"I experienced dizzy when I was prescribed Pneumococcal Conjugate Vaccine, 13-Valent (adsorbed) [See formulation].","[(42, 112, 'DRUG'), (14, 19, 'ADE')]"
Patients often report diarrhea after taking Netupitant + Palonosetron (as HCI).,"[(44, 78, 'DRUG'), (22, 30, 'ADE')]"
Patients often report swelling after taking Phentermine.,"[(44, 55, 'DRUG'), (22, 30, 'ADE')]"
I experienced nausea when I was prescribed Dicycloverine (As hydrochloride).,"[(43, 75, 'DRUG'), (14, 20, 'ADE')]"
Patients often report dry mouth after taking Cefepime (hydrochloride).,"[(45, 69, 'DRUG'), (22, 31, 'ADE')]"
Patients often report dry mouth after taking Hydrocortisone(As Acetate) / Polymyxin B Sulfate/ Neomycin (As Sulfate).,"[(45, 116, 'DRUG'), (22, 31, 'ADE')]"
My mom felt shortness of breath after taking Poractant Alfa.,"[(45, 59, 'DRUG'), (12, 31, 'ADE')]"
Patients often report swelling after taking Neomycin (As Sulfate) + Polymyxin B (As Sulfate) + Bacitracin.,"[(44, 105, 'DRUG'), (22, 30, 'ADE')]"
"After using Carbocisteine + Zinc, I started to feel anxiety.","[(12, 32, 'DRUG'), (52, 59, 'ADE')]"
The doctor said tremors is a side effect of Esflurbiprofen.,"[(44, 58, 'DRUG'), (16, 23, 'ADE')]"
tremors followed immediately after I took Ascorbic Acid + Cholecalciferol + ZInc.,"[(42, 80, 'DRUG'), (0, 7, 'ADE')]"
"Ever since I took Rifampicin + Isoniazid + Pyrazinamide + Ethambutol 
Hydrochloride, I've had constipation.","[(18, 84, 'DRUG'), (95, 107, 'ADE')]"
I experienced chills when I was prescribed CEFTAZIDIME (AS PENTAHYDRATE).,"[(43, 72, 'DRUG'), (14, 20, 'ADE')]"
I experienced dry mouth when I was prescribed Paracetamol + Caffeine.,"[(46, 68, 'DRUG'), (14, 23, 'ADE')]"
"Ever since I took Metoclopramide, I've had headache.","[(18, 32, 'DRUG'), (43, 51, 'ADE')]"
I noticed blurred vision symptoms after my dose of Dequalinium Chloride.,"[(51, 71, 'DRUG'), (10, 24, 'ADE')]"
"Ever since I took Multivitamins + Minerals + Chorella Growth Factor
(CGF), I've had fever.","[(18, 74, 'DRUG'), (85, 90, 'ADE')]"
Patients often report muscle pain after taking Lapatinib (as ditosylate monohydrate).,"[(47, 84, 'DRUG'), (22, 33, 'ADE')]"
Patients often report palpitations after taking Tiotropium (as bromide monohydrate).,"[(48, 83, 'DRUG'), (22, 34, 'ADE')]"
VITEX NEGUNDO L. (LAGUNDI LEAF) made me feel muscle pain for hours.,"[(0, 31, 'DRUG'), (45, 56, 'ADE')]"
Patients often report rash after taking Dorzolamide (as hydrochloride) + Timolol (As Maleate).,"[(40, 93, 'DRUG'), (22, 26, 'ADE')]"
"After using Sodium Chloride + Xylitol, I started to feel diarrhea.","[(12, 37, 'DRUG'), (57, 65, 'ADE')]"
Colecalciferol (Vitamin D) made me feel vomiting for hours.,"[(0, 26, 'DRUG'), (40, 48, 'ADE')]"
"The doctor said swelling is a side effect of Diphenhydramine hydrochloride + 
Phenylpropanolamine hydrochloride.","[(45, 112, 'DRUG'), (16, 24, 'ADE')]"
She became muscle pain post-administration of CARBOCISTEINE.,"[(46, 59, 'DRUG'), (11, 22, 'ADE')]"
Patients often report anxiety after taking Cefuroxime As Sodium.,"[(43, 63, 'DRUG'), (22, 29, 'ADE')]"
Patients often report insomnia after taking Doxycycline (as hyclate).,"[(44, 68, 'DRUG'), (22, 30, 'ADE')]"
swelling followed immediately after I took d-Alpha Tocopherol.,"[(43, 61, 'DRUG'), (0, 8, 'ADE')]"
I noticed diarrhea symptoms after my dose of Escitalopram (as Oxalate).,"[(45, 70, 'DRUG'), (10, 18, 'ADE')]"
"My mom felt anxiety after taking l-menthol + Methyl Salicylate + Turpentine Oil + 
Camphor + Cinnamon Oil + Eucalyptus Oil.","[(33, 123, 'DRUG'), (12, 19, 'ADE')]"
I noticed fever symptoms after my dose of Menthol + Camphor + Eucalyptus Oil.,"[(42, 76, 'DRUG'), (10, 15, 'ADE')]"
"Ever since I took MECLIZINE HYDROCHLORIDE, I've had blurred vision.","[(18, 41, 'DRUG'), (52, 66, 'ADE')]"
I noticed insomnia symptoms after my dose of Atorvastatin (as calcium) + Amlodipine (as besilate).,"[(45, 97, 'DRUG'), (10, 18, 'ADE')]"
"Ever since I took Piperacillin (as Sodium) + Tazobactam (as Sodium), I've had palpitations.","[(18, 67, 'DRUG'), (78, 90, 'ADE')]"
"Multivitamins + Minerals + Amino Acids + Vitis 
vinifera L. (Grape) Seed made me feel diarrhea for hours.","[(0, 73, 'DRUG'), (87, 95, 'ADE')]"
"After using Clotrimazole + Hydrocortisone, I started to feel muscle pain.","[(12, 41, 'DRUG'), (61, 72, 'ADE')]"
I noticed dizzy symptoms after my dose of Indacaterol Acetate + Glycopyrronium Bromide + Mometasone Furoate.,"[(42, 107, 'DRUG'), (10, 15, 'ADE')]"
I noticed swelling symptoms after my dose of Neomycin Sulfate + Polymyxin B Sulfate + Fluocinolone Acetonide.,"[(45, 108, 'DRUG'), (10, 18, 'ADE')]"
I noticed chills symptoms after my dose of Zervit Plus.,"[(43, 54, 'DRUG'), (10, 16, 'ADE')]"
Patients often report constipation after taking Mupirocin + Betamethasone (As Dipropionate).,"[(48, 91, 'DRUG'), (22, 34, 'ADE')]"
My mom felt muscle pain after taking Chloramphenicol (As Palmimate).,"[(37, 67, 'DRUG'), (12, 23, 'ADE')]"
She became tremors post-administration of Leuprolide Acetate.,"[(42, 60, 'DRUG'), (11, 18, 'ADE')]"
"After using Phenylpropanolamine Hydrochloride+ Brompheniramine Maleate, I started to feel blurred vision.","[(12, 70, 'DRUG'), (90, 104, 'ADE')]"
Patients often report shortness of breath after taking Sorafenib Tosylate.,"[(55, 73, 'DRUG'), (22, 41, 'ADE')]"
I noticed vomiting symptoms after my dose of Doxazosin (As mesilate).,"[(45, 68, 'DRUG'), (10, 18, 'ADE')]"
She became swelling post-administration of Oxantel Embonate + Pyrantel Embonate.,"[(43, 79, 'DRUG'), (11, 19, 'ADE')]"
I experienced swelling when I was prescribed Fondaparinux Sodium.,"[(45, 64, 'DRUG'), (14, 22, 'ADE')]"
Mebeverine Hydrochloride made me feel dizzy for hours.,"[(0, 24, 'DRUG'), (38, 43, 'ADE')]"
My mom felt blurred vision after taking Cetirizine Hydrochloride.,"[(40, 64, 'DRUG'), (12, 26, 'ADE')]"
The doctor said dizzy is a side effect of Amlodipine ( as besilate).,"[(42, 67, 'DRUG'), (16, 21, 'ADE')]"
"Ever since I took Hepatitis B Vaccine (Recombinant DNA), I've had vomiting.","[(18, 55, 'DRUG'), (66, 74, 'ADE')]"
She became nausea post-administration of Cefradine (As Monohydrate).,"[(41, 67, 'DRUG'), (11, 17, 'ADE')]"
She became vomiting post-administration of Esomeprazole (As Sodium).,"[(43, 67, 'DRUG'), (11, 19, 'ADE')]"
I noticed dry mouth symptoms after my dose of Piperacillin sodium + Tazobactam sodium.,"[(46, 85, 'DRUG'), (10, 19, 'ADE')]"
Patients often report vomiting after taking Etoposide.,"[(44, 53, 'DRUG'), (22, 30, 'ADE')]"
My mom felt muscle pain after taking Chloramphenicol (as Sodium Succinate).,"[(37, 74, 'DRUG'), (12, 23, 'ADE')]"
"Ever since I took Pioglitazone (As Hydrochloride), I've had insomnia.","[(18, 49, 'DRUG'), (60, 68, 'ADE')]"
The doctor said anxiety is a side effect of Trastuzumab.,"[(44, 55, 'DRUG'), (16, 23, 'ADE')]"
My mom felt rash after taking Duloxetine Hydrochloride.,"[(30, 54, 'DRUG'), (12, 16, 'ADE')]"
She became dizzy post-administration of Ipratropium Bromide + Salbutamol (as sulfate).,"[(40, 85, 'DRUG'), (11, 16, 'ADE')]"
My mom felt constipation after taking Menthol + Camphor + Eucalyptus oil.,"[(38, 72, 'DRUG'), (12, 24, 'ADE')]"
I experienced chills when I was prescribed Tobramycin (as sulfate) + Dexamethasone.,"[(43, 82, 'DRUG'), (14, 20, 'ADE')]"
I noticed tremors symptoms after my dose of Gemazel.,"[(44, 51, 'DRUG'), (10, 17, 'ADE')]"
