text,entities
Adu ti agsao nga agkaroak no ag-inom ti Bacitracin + Polymyxin B Sulfate + Neomycin.,"[(40, 83, 'DRUG'), (17, 25, 'ADE')]"
Ti kadawyan nga epekto ti Rilpivirine (as Hydrochloride) ket agsakit dagiti ul-ulok.,"[(26, 56, 'DRUG'), (61, 83, 'ADE')]"
"Gapu ti Ethyl Alcohol, nakaramdamak ti agkaroak.","[(8, 21, 'DRUG'), (39, 47, 'ADE')]"
Nakaramdamak ti agsakit ti ulok kalpasan ti panag-inom ko ti Sodium chloride.,"[(61, 76, 'DRUG'), (16, 31, 'ADE')]"
"Adu ti agsao nga agbutengak no ag-inom ti Multivitamins + Minerals + Lysine Hydrochloride + 
Buclizine Hydrochloride.","[(42, 117, 'DRUG'), (17, 27, 'ADE')]"
"Kalpasan ti panag-inom ti Levofloxacin hemihydrate, kanayonak a agpaspas ti puso.","[(26, 50, 'DRUG'), (64, 80, 'ADE')]"
"Kalpasan ti panag-inom ti Bupivacaine Hydrochloride (as monohydrate) + Dextrose, kanayonak a kayat ko ti angin.","[(26, 79, 'DRUG'), (93, 110, 'ADE')]"
Ti saanak makaturturog ket maysa a epekto ti Ascorbic Acid + Colecalciferol + Zinc.,"[(45, 82, 'DRUG'), (3, 22, 'ADE')]"
In-experience ko ti agkaroak kalpasan ti Sitagliptin (as Phosphate) + Metformin Hydrochloride.,"[(41, 93, 'DRUG'), (20, 28, 'ADE')]"
Ni nanang ket nakaramdam ti agsakit dagiti ul-ulok idi nag-inom ti Glutamic Acid + Dicalcium Phosphate + Thiamine Hydrocloride (Vitamin B1) + Cyanocobalamin (Vitamin B12).,"[(67, 170, 'DRUG'), (28, 50, 'ADE')]"
"Adu ti agsao nga nasusukaak no ag-inom ti Meningococcal Group A, C, W-135 And Y Conjugate.","[(42, 89, 'DRUG'), (17, 27, 'ADE')]"
Ti nasusukaak ket maysa a epekto ti Isoniazid (Jar).,"[(36, 51, 'DRUG'), (3, 13, 'ADE')]"
In-experience ko ti agkurang ti init ko kalpasan ti Verapamil Hydrochloride.,"[(52, 75, 'DRUG'), (20, 39, 'ADE')]"
Adu ti agsao nga nangato ti bukol no ag-inom ti Carboprost (as tromethamine).,"[(48, 76, 'DRUG'), (17, 33, 'ADE')]"
Ti kadawyan nga epekto ti Guaifenesin + Phenylpropanolamine HC1 Chlorphenamine Maleate ket agsakit dagiti ul-ulok.,"[(26, 86, 'DRUG'), (91, 113, 'ADE')]"
"Gapu ti Efavirenz + Lamivudine + Tenofovir disoproxil 
fumarate, nakaramdamak ti agsukak.","[(8, 64, 'DRUG'), (82, 89, 'ADE')]"
"Ti saanak makaturturog ket maysa a epekto ti Human Papillomavirus Vaccine [Types 16, 18] 
(Recombinant, Adjuvanted, Adsorbed).","[(45, 126, 'DRUG'), (3, 22, 'ADE')]"
"Idi ko inusar ti Cetirizine Dihydrochloride 5 Mg/5 Ml Syrup, nagsang-atak ti agsakit dagiti ul-ulok.","[(17, 59, 'DRUG'), (77, 99, 'ADE')]"
"Kalpasan ti panag-inom ti Sitagliptin (as Phosphate monohydrate), kanayonak a agkaroak.","[(26, 64, 'DRUG'), (78, 86, 'ADE')]"
Ni nanang ket nakaramdam ti agdirdirisak idi nag-inom ti Budesonide + Formoterol Fumarate Dihydrate.,"[(57, 99, 'DRUG'), (28, 40, 'ADE')]"
Nariknak ti naliday ti ulok idi pinainomak ti Temsirolimus.,"[(46, 58, 'DRUG'), (12, 27, 'ADE')]"
"Gapu ti Moxifloxacin Hydrochloride, nakaramdamak ti agkurang ti init ko.","[(8, 34, 'DRUG'), (52, 71, 'ADE')]"
Ni nanang ket nakaramdam ti agsukak idi nag-inom ti Dutasteride + Tamsulosin hydrochloride.,"[(52, 90, 'DRUG'), (28, 35, 'ADE')]"
"Kalpasan ti panag-inom ti Neomycin sulfate + Polymyxin B sulfate + Fluocinolone acetonide, kanayonak a adda pantal ko.","[(26, 89, 'DRUG'), (103, 117, 'ADE')]"
Nariknak ti kayat ko ti angin idi pinainomak ti Betahistine (as hydrochloride).,"[(48, 78, 'DRUG'), (12, 29, 'ADE')]"
Nariknak ti agkarkarigatak idi pinainomak ti Iracet.,"[(45, 51, 'DRUG'), (12, 26, 'ADE')]"
"Kalpasan ti panag-inom ti Silymarin+Multivitamins+Lecithin, kanayonak a agdirdirisak.","[(26, 58, 'DRUG'), (72, 84, 'ADE')]"
Nakaramdamak ti agsakit dagiti ul-ulok kalpasan ti panag-inom ko ti Fingolimod (As Hydrochloride).,"[(68, 97, 'DRUG'), (16, 38, 'ADE')]"
Adu ti agsao nga agkarkarigatak no ag-inom ti Telmisartan + Hydrochlorthiazide.,"[(46, 78, 'DRUG'), (17, 31, 'ADE')]"
In-experience ko ti agpaspas ti puso kalpasan ti dl-alpha Tocopheryl Acetate (Vitamin E)..,"[(49, 89, 'DRUG'), (20, 36, 'ADE')]"
"Idi ko inusar ti CHOLECALCIFEROL, nagsang-atak ti nasusukaak.","[(17, 32, 'DRUG'), (50, 60, 'ADE')]"
Ti agsukak ket maysa a epekto ti Metformin Hydrchloride.,"[(33, 55, 'DRUG'), (3, 10, 'ADE')]"
Nariknak ti saanak makapanag-diges idi pinainomak ti Atorvastatin (as calcium trihydrate) + Amlodipine (as besilate).,"[(53, 116, 'DRUG'), (12, 34, 'ADE')]"
In-experience ko ti agkarkarigatak kalpasan ti Mometasone Furoate (as Monohydrate).,"[(47, 82, 'DRUG'), (20, 34, 'ADE')]"
Ti agkaroak ket maysa a epekto ti Menthol Camphor.,"[(34, 49, 'DRUG'), (3, 11, 'ADE')]"
Nariknak ti naliday ti ulok idi pinainomak ti Salmeterol (as xinofoate) + Fluticasone propionate.,"[(46, 96, 'DRUG'), (12, 27, 'ADE')]"
Ti agkarkarigatak ket maysa a epekto ti Ipratropium Bromide.,"[(40, 59, 'DRUG'), (3, 17, 'ADE')]"
