text,entities
"Pagkatapos ko gamiten an Zervit Plus, nag-aramak nu nagnginingisi.","[(25, 36, 'DRUG'), (52, 65, 'ADE')]"
"Sabi da, nagnginingisi nu epekto nu Isoniazid.","[(36, 45, 'DRUG'), (9, 22, 'ADE')]"
An kulang an hangin ay epekto nu Hedera helix L.(Ivy Leaf Extract).,"[(33, 66, 'DRUG'), (3, 19, 'ADE')]"
Manyahe nagrereklamo na nangangatal pag inom nu Dextromethorphan Hydrobromide.,"[(48, 77, 'DRUG'), (24, 35, 'ADE')]"
Namayan ako nu manget ang ulu pagkatapos inom ko nu Recombinant Human Erythropoietin Alfa.,"[(52, 89, 'DRUG'), (15, 29, 'ADE')]"
Na-experiensya ko an manuka pagkatapos nu Desloratadine.,"[(42, 55, 'DRUG'), (21, 27, 'ADE')]"
Namayan ako nu kulang an hangin pagkatapos inom ko nu Multivitamins + Minerals + Amino Acids + Deanol + Ginseng.,"[(54, 111, 'DRUG'), (15, 31, 'ADE')]"
Naramdaman ko an nagnginingisi matapos gamitin an Peritoneal Dialysis Solution With 4.25% Dextrose.,"[(50, 98, 'DRUG'), (17, 30, 'ADE')]"
An may katikati ay epekto nu Bacitracin + Polymyxin B Sulfate + Neomycin.,"[(29, 72, 'DRUG'), (3, 15, 'ADE')]"
"Pagkatapos ko gamiten an Sevelamer (as Carbonate), nag-aramak nu napapanes.","[(25, 49, 'DRUG'), (65, 74, 'ADE')]"
Si nanay may nanamayan katapos inom na nu Multivitamins + Minerals + Korean Ginseng + Royal Jelly (see formulation on reverse side).,"[(42, 131, 'DRUG'), (13, 22, 'ADE')]"
"Pagkatapos ko gamiten an Nonacog Alfa, nag-aramak nu natuyu an ngiwat.","[(25, 37, 'DRUG'), (53, 69, 'ADE')]"
"Pagkatapos ko gamiten an Temozolomide, nag-aramak nu madin maturog.","[(25, 37, 'DRUG'), (53, 66, 'ADE')]"
Namayan ako nu madin maturog pagkatapos inom ko nu Filgrastim (Recombinant Granulocyte Colony-Stimulating Factor [Rhu-Gcsf]).,"[(51, 124, 'DRUG'), (15, 28, 'ADE')]"
