text,entities
natuyo ang bibig ang naramdaman ko matapos ang Benzylpenicillin sodium..,"[(47, 71, 'DRUG'), (0, 16, 'ADE')]"
Si nanay ay nakaranas ng nagkapantal pagkatapos uminom ng Carmona Retusa (Vahl.) Masam (Tsaang Gubat Leaf).,"[(58, 106, 'DRUG'), (25, 36, 'ADE')]"
"Dahil sa Mepivacaine Hydrochloride, ako ay nakaramdam ng sumakit ang ulo.","[(9, 34, 'DRUG'), (57, 72, 'ADE')]"
"Pagkatapos uminom ng Raloxifene Hydrochloride, ako'y naging hindi makatulog.","[(21, 45, 'DRUG'), (60, 75, 'ADE')]"
Ang nagtatae ay isang epekto ng Lamivudine + Tenofovir disoproxil fumarate sabi ng doktor.,"[(32, 74, 'DRUG'), (4, 12, 'ADE')]"
"Dahil sa Dopacard, ako ay nakaramdam ng malabo ang paningin.","[(9, 17, 'DRUG'), (40, 59, 'ADE')]"
Marami ang nagsabing nanginginig ang epekto ng Tobramycin.,"[(47, 57, 'DRUG'), (21, 32, 'ADE')]"
nahilo ang naramdaman ko matapos ang Piribedil.,"[(37, 46, 'DRUG'), (0, 6, 'ADE')]"
"Dahil sa Loperamide, ako ay nakaramdam ng nanghina.","[(9, 19, 'DRUG'), (42, 50, 'ADE')]"
nagsuka ang naramdaman ko matapos ang Solu-Medrol.,"[(38, 49, 'DRUG'), (0, 7, 'ADE')]"
Nagka-nilamig ako matapos gamitin ang Ascorbic Acid (as Sodium Ascorbate) + Zinc (as Gluconate).,"[(38, 95, 'DRUG'), (6, 13, 'ADE')]"
Ang nasusuka ay isang epekto ng Aluminum Hydroxide + Magnesium Hydroxide sabi ng doktor.,"[(32, 72, 'DRUG'), (4, 12, 'ADE')]"
"Dahil sa DOPAMINE HYDROCHLORIDE, ako ay nakaramdam ng sumakit ang ulo.","[(9, 31, 'DRUG'), (54, 69, 'ADE')]"
"Dahil sa Multivitamins/Minerals, ako ay nakaramdam ng namaga.","[(9, 31, 'DRUG'), (54, 60, 'ADE')]"
nanghina ang naramdaman ko matapos ang Thiamine Hydrochloride ( VitaminB1) + Pyridoxine Hydrochloride (VitaminB6) + Cyanocobalamin (Vitamin B12).,"[(39, 144, 'DRUG'), (0, 8, 'ADE')]"
"Simula nang ininom ko ang CEFOTAXIME (AS SODIUM), palagi akong hindi makatulog.","[(26, 48, 'DRUG'), (63, 78, 'ADE')]"
Si nanay ay nakaranas ng sumakit ang kalamnan pagkatapos uminom ng Vecuronium Bromide.,"[(67, 85, 'DRUG'), (25, 45, 'ADE')]"
"Simula nang ininom ko ang Amoxicillin (as Trihydrate) (Vet.), palagi akong hindi makadumi.","[(26, 60, 'DRUG'), (75, 89, 'ADE')]"
"Simula nang ininom ko ang Camphor + Chlorbutanol + Clove oil + Creosote + Phenol Liquid, palagi akong nahirapang huminga.","[(26, 87, 'DRUG'), (102, 120, 'ADE')]"
Marami ang nagsabing natuyo ang bibig ang epekto ng Icatibant.,"[(52, 61, 'DRUG'), (21, 37, 'ADE')]"
Nagka-sumakit ang kalamnan ako matapos gamitin ang Sildenafil citrate.,"[(51, 69, 'DRUG'), (6, 26, 'ADE')]"
"Simula nang ininom ko ang OXCARBAZEPINE, palagi akong nasusuka.","[(26, 39, 'DRUG'), (54, 62, 'ADE')]"
Ang nagtatae ay isang epekto ng Crizotinib sabi ng doktor.,"[(32, 42, 'DRUG'), (4, 12, 'ADE')]"
Si nanay ay nakaranas ng nagsuka pagkatapos uminom ng Losartan Potassium + Amlodipine (As Besilate).,"[(54, 99, 'DRUG'), (25, 32, 'ADE')]"
Nakaramdam ako ng nagkapantal matapos uminom ng Fluocinolone Acetonide + Polymyxin B Sulfate + Neomycin (as sulfate).,"[(48, 116, 'DRUG'), (18, 29, 'ADE')]"
Naranasan ko ang nagsuka pagkatapos kong inumin ang Phenylephrine hydrochloride + Chlorphenamine maleate + Paracetamol.,"[(52, 118, 'DRUG'), (17, 24, 'ADE')]"
nahilo ang naramdaman ko matapos ang SODIUM VALPROATE + VALPROIC ACID.,"[(37, 69, 'DRUG'), (0, 6, 'ADE')]"
nasusuka ang naramdaman ko matapos ang Olopatadine (As Hydrochloride).,"[(39, 69, 'DRUG'), (0, 8, 'ADE')]"
