,text,label
0,"Japanese Encephalitis Virus (Live, Attenuated), Powder for Suspension for Injection (SC), -",Prescription Drug (RX)
1,"Heparin Sodium, Solution For Injection (IV/SC), Anticoagulant",Prescription Drug (RX)
2,"Heparin Sodium, Solution For Injection (IV/SC), Antithrombotic Agents",Prescription Drug (RX)
3,"Human Insulin (rDNA), Solution For Injection (Im/Iv/Sc), Antidiabetic",Prescription Drug (RX)
4,"Insulin Human, Suspension For Injection (SC), -",Prescription Drug (RX)
5,"Isophane Insulin Human, Recombinant DNA, Suspension For Injection, Intermediate-acting Insulin",Prescription Drug (RX)
6,"Insulin Detemir, Solution for injection, Antidiabetic",Prescription Drug (Rx)
7,"Insulin Human, Suspension For Injection (SC), -",Prescription Drug (RX)
8,"Somatropin, Solution For Injection (SC), -",Prescription Drug (RX)
9,"Biphasic Insulin Aspart 30, Suspension for injection (SC), Antidiabetic",Prescription Drug (Rx)
10,"Insulin Aspart, Solution For Injection (SC), -",Prescription Drug (RX)
11,"Liraglutide, Solution For Injection (SC), -",Prescription Drug (RX)
12,"Laronidase, Concentrated Solution for IV Infusion, -",Prescription Drug (RX)
13,"Insulin Glulisine, Solution for Subcutaneous/Continuous SC Pump Infusion/ 
Intravenous Injection, -",Prescription Drug (RX)
14,"Agalsidase Beta, Powder for Concentrate for Solution for Infusion (IV), Enzyme",Prescription (Rx) Drug
15,"Agalsidase Beta, Powder for Concentrate for Solution for 
Infusion (IV), -",Prescription Drug (RX)
16,"Insulin Lispro (rDNA origin), Solution for Injection (IM/IV/SC), -",Prescription Drug (RX)
17,"Somatropin, Solution S.C. for Injection, Anterior Pituitary Lobe Hormone and Analogue",Prescription Drug (RX)
18,"Trastuzumab, Lyophilized Powder For Concentrate Solution For Infusion (IV), -",Prescription Drug (RX)
19,"Ranibizumab, Solution For Injection (Intravitreal), Antineovascular agents",Prescription Drug (RX)
20,"Filgrastim, Solution for Injection/ 150mg/ml, Hematopoietic Growth Factor",Prescription Drug (RX)
21,"Epoetin beta, Solution for Injection (S.C./I.V.), Antianemic Preparations",Prescription Drug (RX)
22,"Alteplase, Powder for Solution for Infusion (IV, -",Prescription Drug (RX)
23,"Tocilizumab, Solution For Injection (SC), -",Prescription Drug (RX)
24,"Trastuzumab, Solution for Injection (SC), Antineoplastic Agents [HER2 (Human Epidermal Growth 
Factor Receptor 2) Inhibitors]",Prescription Drug (Rx)
25,"Rituximab, Solution for Injection (SC), Antineoplastic Agents",Prescription Drug (RX)
26,"Obinutuzumab, Concentrate For Solution For Infusion (IV), -",Prescription Drug (RX)
27,"Secukinumab, Solution For Injection (SC), Interleukin Inhibitors",Prescription Drug (RX)
28,"Secukinumab, Powder For Solution For Injection (SC), Interleukin Inhibitors",Prescription Drug (RX)
29,"Secukinumab, Solution For Injection (Sc), -",Prescription Drug (RX)
30,"Pneumococcal Conjugate Vaccine, 13-Valent 
(adsorbed) [See formulation on reverse side], Suspension For Injection (IM), -",Prescription Drug (RX)
31,"Chorionic Gonadotrophin, Powder for Injection (IM), -",Prescription Drug (RX)
32,"Pembrolizumab, Solution For Injection (IV Infusion), Antineoplastic",Prescription Drug (RX)
33,"Rituximab, Concentrate For Solution For Infusion (IV), -",Prescription Drug (RX)
34,"Combined Diphtheria, Tetanus, Acellular Pertussis Vaccine, Adsorbed, Suspension For Injection (I.M.), Vaccine",Prescription Drug (RX)
35,"Siltuximab, Powder For Concentrate For Solution For Infusion, -",Prescription Drug (RX)
36,"Siltuximab, Powder For Concentrate For Solution For Infusion, -",Prescription Drug (RX)
37,"Insulin Glargine, Solution For Injection (SC), Insulins and Analogues",Prescription Drug (RX)
38,"Human Normal Immunoglobulin, Solution for IV Infusion, Immunoglobulin",Prescription Drug (RX)
39,"Human Normal Immunoglobulin, Solution for IV Infusion, -",Prescription Drug (RX)
40,"Human Albumin, Solution for IV Infusion, -",Prescription Drug (RX)
41,"Insulin Human (rDNA), Suspension For Injection (SC), -",Prescription Drug (RX)
42,"Insulin Human (rDNA), Suspension For Injection (Sc), -",Prescription Drug (RX)
43,"Insulin Human (rDNA), Suspension For Injection (SC), -",Prescription Drug (RX)
44,"Human Albumin, Solution for IV Infusion, Blood substitutes and plasma protein fractions",Prescription Drug (Rx)
