text,entities,lang
natuyo ang bibig ang naramdaman ko matapos ang Benzylpenicillin sodium..,"[(47, 71, 'DRUG'), (0, 16, 'ADE')]",filipino
Si nanay ay nakaranas ng nagkapantal pagkatapos uminom ng Carmona Retusa (Vahl.) Masam (Tsaang Gubat Leaf).,"[(58, 106, 'DRUG'), (25, 36, 'ADE')]",filipino
"Dahil sa Mepivacaine Hydrochloride, ako ay nakaramdam ng sumakit ang ulo.","[(9, 34, 'DRUG'), (57, 72, 'ADE')]",filipino
"Pagkatapos uminom ng Raloxifene Hydrochloride, ako'y naging hindi makatulog.","[(21, 45, 'DRUG'), (60, 75, 'ADE')]",filipino
Ang nagtatae ay isang epekto ng Lamivudine + Tenofovir disoproxil fumarate sabi ng doktor.,"[(32, 74, 'DRUG'), (4, 12, 'ADE')]",filipino
"Dahil sa Dopacard, ako ay nakaramdam ng malabo ang paningin.","[(9, 17, 'DRUG'), (40, 59, 'ADE')]",filipino
Marami ang nagsabing nanginginig ang epekto ng Tobramycin.,"[(47, 57, 'DRUG'), (21, 32, 'ADE')]",filipino
nahilo ang naramdaman ko matapos ang Piribedil.,"[(37, 46, 'DRUG'), (0, 6, 'ADE')]",filipino
"Dahil sa Loperamide, ako ay nakaramdam ng nanghina.","[(9, 19, 'DRUG'), (42, 50, 'ADE')]",filipino
nagsuka ang naramdaman ko matapos ang Solu-Medrol.,"[(38, 49, 'DRUG'), (0, 7, 'ADE')]",filipino
Nagka-nilamig ako matapos gamitin ang Ascorbic Acid (as Sodium Ascorbate) + Zinc (as Gluconate).,"[(38, 95, 'DRUG'), (6, 13, 'ADE')]",filipino
Ang nasusuka ay isang epekto ng Aluminum Hydroxide + Magnesium Hydroxide sabi ng doktor.,"[(32, 72, 'DRUG'), (4, 12, 'ADE')]",filipino
"Dahil sa DOPAMINE HYDROCHLORIDE, ako ay nakaramdam ng sumakit ang ulo.","[(9, 31, 'DRUG'), (54, 69, 'ADE')]",filipino
"Dahil sa Multivitamins/Minerals, ako ay nakaramdam ng namaga.","[(9, 31, 'DRUG'), (54, 60, 'ADE')]",filipino
nanghina ang naramdaman ko matapos ang Thiamine Hydrochloride ( VitaminB1) + Pyridoxine Hydrochloride (VitaminB6) + Cyanocobalamin (Vitamin B12).,"[(39, 144, 'DRUG'), (0, 8, 'ADE')]",filipino
"Simula nang ininom ko ang CEFOTAXIME (AS SODIUM), palagi akong hindi makatulog.","[(26, 48, 'DRUG'), (63, 78, 'ADE')]",filipino
Si nanay ay nakaranas ng sumakit ang kalamnan pagkatapos uminom ng Vecuronium Bromide.,"[(67, 85, 'DRUG'), (25, 45, 'ADE')]",filipino
"Simula nang ininom ko ang Amoxicillin (as Trihydrate) (Vet.), palagi akong hindi makadumi.","[(26, 60, 'DRUG'), (75, 89, 'ADE')]",filipino
"Simula nang ininom ko ang Camphor + Chlorbutanol + Clove oil + Creosote + Phenol Liquid, palagi akong nahirapang huminga.","[(26, 87, 'DRUG'), (102, 120, 'ADE')]",filipino
Marami ang nagsabing natuyo ang bibig ang epekto ng Icatibant.,"[(52, 61, 'DRUG'), (21, 37, 'ADE')]",filipino
Nagka-sumakit ang kalamnan ako matapos gamitin ang Sildenafil citrate.,"[(51, 69, 'DRUG'), (6, 26, 'ADE')]",filipino
"Simula nang ininom ko ang OXCARBAZEPINE, palagi akong nasusuka.","[(26, 39, 'DRUG'), (54, 62, 'ADE')]",filipino
Ang nagtatae ay isang epekto ng Crizotinib sabi ng doktor.,"[(32, 42, 'DRUG'), (4, 12, 'ADE')]",filipino
Si nanay ay nakaranas ng nagsuka pagkatapos uminom ng Losartan Potassium + Amlodipine (As Besilate).,"[(54, 99, 'DRUG'), (25, 32, 'ADE')]",filipino
Nakaramdam ako ng nagkapantal matapos uminom ng Fluocinolone Acetonide + Polymyxin B Sulfate + Neomycin (as sulfate).,"[(48, 116, 'DRUG'), (18, 29, 'ADE')]",filipino
Naranasan ko ang nagsuka pagkatapos kong inumin ang Phenylephrine hydrochloride + Chlorphenamine maleate + Paracetamol.,"[(52, 118, 'DRUG'), (17, 24, 'ADE')]",filipino
nahilo ang naramdaman ko matapos ang SODIUM VALPROATE + VALPROIC ACID.,"[(37, 69, 'DRUG'), (0, 6, 'ADE')]",filipino
nasusuka ang naramdaman ko matapos ang Olopatadine (As Hydrochloride).,"[(39, 69, 'DRUG'), (0, 8, 'ADE')]",filipino
"Simula nang ininom ko ang Dicycloverine Hydrichloride, palagi akong sumakit ang ulo.","[(26, 53, 'DRUG'), (68, 83, 'ADE')]",filipino
Naranasan ko ang nagsuka pagkatapos kong inumin ang Vitamin B Complex + Vitamin C.,"[(52, 81, 'DRUG'), (17, 24, 'ADE')]",filipino
"Dahil sa Entecavir (as monohydrate), ako ay nakaramdam ng hindi makatulog.","[(9, 35, 'DRUG'), (58, 73, 'ADE')]",filipino
Si nanay ay nakaranas ng malabo ang paningin pagkatapos uminom ng Multivitamins + Iron + Lysine Hydrochloride + Buclizine Hydrochloride (see reverse for formulation).,"[(66, 165, 'DRUG'), (25, 44, 'ADE')]",filipino
Si nanay ay nakaranas ng nagkapantal pagkatapos uminom ng Glucose + Amino Acids + Electrolytes + Vitamin B1.,"[(58, 107, 'DRUG'), (25, 36, 'ADE')]",filipino
"Dahil sa Lactated Ringer's Solution for Injection, ako ay nakaramdam ng hindi makadumi.","[(9, 49, 'DRUG'), (72, 86, 'ADE')]",filipino
Nakaramdam ako ng sumakit ang kalamnan matapos uminom ng Phenytoin  sodium.,"[(57, 74, 'DRUG'), (18, 38, 'ADE')]",filipino
"Simula nang ininom ko ang Peritoneal Dialysis Solution With 4.25% Dextrose, palagi akong natuyo ang bibig.","[(26, 74, 'DRUG'), (89, 105, 'ADE')]",filipino
"Pagkatapos uminom ng Dextrose, ako'y naging nilagnat.","[(21, 29, 'DRUG'), (44, 52, 'ADE')]",filipino
Nakaramdam ako ng nanginginig matapos uminom ng Guiafenesin + Salbutamol (As Sulfate).,"[(48, 85, 'DRUG'), (18, 29, 'ADE')]",filipino
"Simula nang ininom ko ang Isopropanol + N-Propanol +Mecetronium Ethylsulfate, palagi akong hindi makadumi.","[(26, 76, 'DRUG'), (91, 105, 'ADE')]",filipino
"Dahil sa Paracetamol + Phenylephrine Hydrochloride + Chlorphenamine Maleate, ako ay nakaramdam ng namaga.","[(9, 75, 'DRUG'), (98, 104, 'ADE')]",filipino
"nagsuka ang naramdaman ko matapos ang Soy Bean Oil + Medium Chain Triglyceride + Olive 
Oil + Purified Fish Oil.","[(38, 112, 'DRUG'), (0, 7, 'ADE')]",filipino
"Pagkatapos uminom ng Venlafaxine (as hydrochloride), ako'y naging sumakit ang kalamnan.","[(21, 51, 'DRUG'), (66, 86, 'ADE')]",filipino
